"","NSC","NAME","FDA_STATUS","MOA","PUBCHEM_ID","SMILES","TOTAL_EXPS","TOTAL_EXPS_AFTER_QC"
"660635",660635,"2-Chloro-3-[1-(4-(4'-acetophenone)piperazino)]- naphthaz...","","",378361,"CC(=O)c1ccc(cc1)N2CCN(CC2)C3=C(Cl)C(=O)c4c(O)ccc(O)c4C3=O",1,1
"660636",660636,"2-[1-(4-(4'-acetophenone)piperazino)]-naphthazarin","","",438711,"CC(=O)c1ccc(cc1)N2CCN(CC2)C3=CC(=O)c4c(O)ccc(O)c4C3=O",1,1
"660637",660637,"6-Chloro-5,8-dihydroxy-7-[4-[2-(2-hydroxyethoxy)ethyl]piperazin-1-yl]naphthalene-1,4-dione;(2R,3R)-2,3-dihydroxybutanedioic acid","","",378362,"OCCOCCN1CCN(CC1)C2=C(Cl)C(=O)c3c(O)ccc(O)c3C2=O",2,2
"660638",660638,"6-Chloro-5,8-dihydroxy-7-{4-[2-(2-hydroxyethoxy)ethyl]piperazin-1-yl}naphthalene-1,4-dione","","",375897,"OCCOCCN1CCN(CC1)C2=C(Cl)C(=O)c3c(O)ccc(O)c3C2=O",2,2
"660647",660647,"",NA,NA,NA,"CN(C)c1ccc(cc1)\C(=C\2/OC(=O)c3ccccc23)\Br",1,1
"660667",660667,"9-(4-(2-Bromoethoxy)phenyl)-10-(4-methoxyphenyl)anthracene","","",378370,"COc1ccc(cc1)c2c3ccccc3c(c4ccc(OCCBr)cc4)c5ccccc25",1,1
"660673",660673,"1-(2-(Acetyloxy)ethylidene)-4-((4-methoxyphenyl)imino)-2-butenyl acetate","","",5467952,"COc1ccc(cc1)\N=C\C=C\C(=C\COC(=O)C)\OC(=O)C",1,1
"660675",660675,"1-(2-(Acetyloxy)ethylidene)-4-(4-methoxyanilino)-2-butenyl acetate","","",5467954,"COc1ccc(NC\C=C\C(=C\COC(=O)C)\OC(=O)C)cc1",1,1
"660813",660813,"6-Hydroxy-3,3,11,12-tetramethyl-pyrano[2,3-c]acridin-7-one","","",5465763,"CN1c2c(C)cccc2C(=O)c3c(O)cc4OC(C)(C)C=Cc4c13",1,1
"660814",660814,"1-Hydroxy-3-methyl-10H-acridin-9-one","","",5465764,"Cc1cc(O)c2C(=O)c3ccccc3Nc2c1",1,1
"660816",660816,"3-Methoxy-1,10-dimethyl-9(10H)-acridinone","","",378398,"COc1cc(C)c2C(=O)c3ccccc3N(C)c2c1",1,1
"660817",660817,"6'-Hydroxy-12'-methylspiro[cyclopentane-1,3'-pyrano[2,3-c]acridine]-7'-one","","",5465765,"CN1c2ccccc2C(=O)c3c(O)cc4OC5(CCCC5)C=Cc4c13",1,1
"660818",660818,"Spiro[cyclopentane-1,3'-[3H]pyrano[2,3-c]acridin]-7'(12'H)-one, 6'-methoxy-12'-methyl-","","",378400,"COc1cc2OC3(CCCC3)C=Cc2c4N(C)c5ccccc5C(=O)c14",1,1
"660821",660821,"",NA,NA,NA,"COC(=O)[C@]1(C)CCC[C@@]2(C)C1CC[C@]34C=C(C(C)C)[C@H](CC23)CC4(Cl)C#N",1,1
"660838",660838,"5-((2-(Diethylamino)ethyl)amino)-10-methoxy-6H-imidazo[4,5,1-de]acridin-6-one","","",378419,"CCN(CC)CCNc1ccc2ncn3c4c(OC)cccc4C(=O)c1c23",1,1
"660839",660839,"5-((2-(Diethylamino)ethyl)amino)-7,10-dimethoxy-6H-imidazo[4,5,1-de]acridin-6-one","","",378420,"CCN(CC)CCNc1ccc2ncn3c4c(OC)ccc(OC)c4C(=O)c1c23",1,1
"660840",660840,"10-[2-(Diethylamino)ethylamino]-8-hydroxy-3-methoxy-1,14-diazatetracyclo[7.6.1.02,7.013,16]hexadeca-2,4,7,9,11,13(16),14-heptaen-6-one","","",378421,"CCN(CC)CCNc1ccc2ncn3c4c(OC)ccc(O)c4C(=O)c1c23",2,2
"660841",660841,"10-[2-(Diethylamino)ethylamino]-8-hydroxy-4,5-dimethoxy-1,14-diazatetracyclo[7.6.1.02,7.013,16]hexadeca-2,4,7,9,11,13(16),14-heptaen-6-one","","",378422,"CCN(CC)CCNc1ccc2ncn3c4cc(OC)c(OC)c(O)c4C(=O)c1c23",2,2
"660842",660842,"",NA,NA,NA,"OC(=O)C[n+]1cn(NC(=O)Cc2ccccc2)cn1",1,1
"660843",660843,"1-(2-Tert-butoxy-2-oxoethyl)-4-[methyl(phenylacetyl)amino]-4H-1,2,4-triazol-1-ium bromide","","",378423,"CN(C(=O)Cc1ccccc1)n2cn[n+](CC(=O)OC(C)(C)C)c2",1,1
"660850",660850,"2-(Methoxyimino)-N-(1,3-thiazol-5-yl)-2-(2-(tritylamino)-1,3-thiazol-4-yl)acetamide","","",6393313,"CO\N=C(/C(=O)Nc1cncs1)\c2csc(NC(c3ccccc3)(c4ccccc4)c5ccccc5)n2",1,1
"660854",660854,"Tert-butyl 2-[4-[bis[(2E)-2-methoxyimino-2-[2-(tritylamino)-1,3-thiazol-4-yl]acetyl]amino]-5-oxo-1,2,4-triazol-1-yl]acetate","","",16129786,"CO\N=C(\C(=O)N(N1C=NN(CC(=O)OC(C)(C)C)C1=O)C(=O)\C(=N\OC)\c2csc(NC(c3ccccc3)(c4ccccc4)c5ccccc5)n2)/c6csc(NC(c7ccccc7)(c8ccccc8)c9ccccc9)n6",1,1
"660977",660977,"2-bromo-8-hydroxy-6-methyl-1,4-naphthoquinone","","",378439,"Cc1cc(O)c2C(=O)C(=CC(=O)c2c1)Br",2,2
"660978",660978,"2-bromo-8-methoxy-6-methyl-1,4-naphthoquinone","","",378440,"COc1cc(C)cc2C(=O)C=C(Br)C(=O)c12",2,2
"660979",660979,"2-bromo-6-methyl-1,4,8-trimethoxynaphthalene","","",378441,"COc1cc(Br)c(OC)c2c(OC)cc(C)cc12",1,1
"660981",660981,"(S)-(+)-N-1-(3,5-Dimethoxybenzyl)ethyl acetamide","","",378442,"COc1cc(CC(C)NC(=O)C)cc(OC)c1",1,1
"660983",660983,"(1R,3S)-1,2,3,4-Tetrahydro-1,3-dimethyl-6,8-dimethoxy- N...","","",378444,"COc1cc2CC(C)N(Cc3ccccc3)[C@@H](C)c2c(OC)c1",1,1
"661005",661005,"",NA,NA,NA,"",1,1
"661083",661083,"2-[[4-Amino-6-(3,5,5-trimethyl-4H-pyrazol-1-yl)-1,3,5-triazin-2-yl]methylsulfanyl]-4-chloro-5-methylbenzenesulfonamide","","",378483,"CC1=NN(c2nc(N)nc(CSc3cc(Cl)c(C)cc3S(=O)(=O)N)n2)C(C)(C)C1",1,1
"661091",661091,"2-[2-[[4-Amino-6-(3-methyl-3,4-dihydropyrazol-2-yl)-1,3,5-triazin-2-yl]sulfamoyl]-5-chloro-4-methylphenyl]sulfanylacetic acid","","",378491,"CC1CC=NN1c2nc(N)nc(NS(=O)(=O)c3cc(C)c(Cl)cc3SCC(=O)O)n2",1,1
"661094",661094,"6-Chloro-7-methyl-3-(2-methylhydrazino)-1,4,2-benzodithiazine 1,1-dioxide","","",378494,"CNNC1=NS(=O)(=O)c2cc(C)c(Cl)cc2S1",1,1
"661095",661095,"Methyl 6-chloro-3-(2-methylhydrazino)-1,4,2-benzodithiazine-7-carboxylate 1,1-dioxide","","",378495,"CNNC1=NS(=O)(=O)c2cc(C(=O)OC)c(Cl)cc2S1",1,1
"661096",661096,"6-Chloro-3-(2-methylhydrazino)-1,4,2-benzodithiazine-7-carbonitrile 1,1-dioxide","","",378496,"CNNC1=NS(=O)(=O)c2cc(C#N)c(Cl)cc2S1",1,1
"661098",661098,"6-Chloro-3-(2-(4,5-dihydro-1H-imidazol-2-yl)hydrazino)-7-methyl-1,4,2-benzodithiazine 1,1-dioxide","","",378498,"Cc1cc2c(SC(=NS2(=O)=O)NNC3=NCCN3)cc1Cl",1,1
"661108",661108,"",NA,NA,NA,"CN(C)C1=N\C(=N\Cc2ccccc2)\SS1",2,1
"661109",661109,"",NA,NA,NA,"CN(C)C1=N\C(=N\Cc2ccccn2)\SS1",2,1
"661110",661110,"",NA,NA,NA,"CN(C)C1=N\C(=N\Cc2cccs2)\SS1",2,1
"661111",661111,"",NA,NA,NA,"CN(C)C1=N\C(=N\Cc2cccnc2)\SS1",1,1
"661112",661112,"",NA,NA,NA,"CN(C)C1=N\C(=N\Cc2ccncc2)\SS1",4,1
"661113",661113,"",NA,NA,NA,"COc1cc(C\N=C\2/SSC(=N2)N(C)C)cc(OC)c1OC",2,1
"661114",661114,"Physalin O",NA,NA,NA,"C[C@@H]1C(=O)O[C@@H]2C[C@@]1(C)[C@@H]3C(=O)C4(O)OC35C2(C)OC(=O)[C@@]5(O)CCC6C4C(O)C=C7CC=CC(=O)[C@]67C",1,1
"661115",661115,"Physalin F",NA,NA,NA,"C[C@@]12C[C@H]3OC(=O)[C@@H]1COC45OC6([C@H]2C4=O)C3(C)OC(=O)C6(O)CCC7C5C[C@H]8O[C@]89CC=CC(=O)[C@]79C",1,1
"661153",661153,"Pyrrolo[3,4-c]carbazole-1,3(2H,6H)-dione, 6-[3-(methylam...","","",378525,"CNCCCn1c2ccccc2c3c4C(=O)NC(=O)c4c(cc13)c5ccsc5",2,2
"661180",661180,"6-Admpb","","",1784,"COc1ccc(cc1)C2=C(OC(=O)C)c3cccn3c4ccccc4S2",1,1
"661185",661185,"6-(4-Methoxyphenyl)-2-(trifluoromethyl)pyrrolo[2,1-d][1,5]benzothiazepin-7-yl dimethylcarbamate","","",378550,"COc1ccc(cc1)C2=C(OC(=O)N(C)C)c3cccn3c4cc(ccc4S2)C(F)(F)F",1,1
"661196",661196,"Cyclopenta[c]thiophen-4-one, 6-amino-1,3-dibromo- 5-hydr...",NA,NA,NA,"N[C@@H]1[C@H](O)C(=O)c2c(Br)sc(Br)c12",2,2
"661201",661201,"Ethyl 6-(bromomethyl)-2-phenyl[1,3]thiazolo[3,2-b][1,2,4]triazole-5-carboxylate","","",378562,"CCOC(=O)c1sc2nc(nn2c1CBr)c3ccccc3",1,1
"661203",661203,"Rutagravine","","",5465778,"CN1c2ccccc2C(=O)c3c(O)cc4OC5C(OCC5(C)O)c4c13",1,1
"661204",661204,"3-((1,1-Dimethyl-2-propynyl)oxy)-1-methoxy-10-methyl-9(10H)-acridinone","","",378565,"COc1cc(OC(C)(C)C#C)cc2N(C)c3ccccc3C(=O)c12",1,1
"661205",661205,"4-Hydroxy-2-isopropenyl-10-methyl-3,10-dihydrofuro[3,2-b]acridin-5(2H)-one","","",378566,"CN1c2ccccc2C(=O)c3c(O)c4CC(Oc4cc13)C(=C)C",2,2
"661221",661221,"1H-Benzo(a)carbazole-1,4-dione, 8,11-dimethyl-","","",378581,"Cc1ccc2c(c1)c3ccc4C(=O)C=CC(=O)c4c3n2C",2,2
"661222",661222,"11-Propyl-1H-benzo[a]carbazole-1,4(11H)-dione","","",378582,"CCCn1c2ccccc2c3ccc4C(=O)C=CC(=O)c4c13",2,1
"661223",661223,"1H-Benzo[a]carbazole-1,4-dione, 4,11-dihydro- 11-(3-nitr...","","",378583,"[O-][N+](=O)c1cccc(c1)n2c3ccccc3c4ccc5C(=O)C=CC(=O)c5c24",2,2
"661224",661224,"9,11-Dimethyl-1H-benzo[a]carbazole-1,4(11H)-dione","","",378584,"Cc1ccc2c3ccc4C(=O)C=CC(=O)c4c3n(C)c2c1",2,2
"661225",661225,"11-Methyl-6-phenyl-1H-benzo[a]carbazole-1,4(11H)-dione","","",378585,"Cn1c2ccccc2c3c(cc4C(=O)C=CC(=O)c4c13)c5ccccc5",2,2
"661226",661226,"Dimethyl 11-methyl-1,4-dioxo-4,11-dihydro-1H-benzo[a]carbazole-5,6-dicarboxylate","","",378586,"COC(=O)c1c(C(=O)OC)c2c3ccccc3n(C)c2c4C(=O)C=CC(=O)c14",2,2
"661229",661229,"13-(3-Methoxyphenyl)-9,13-diazahexacyclo[14.8.0.02,10.03,8.011,15.019,24]tetracosa-2(10),3,5,7,19,21,23-heptaene-12,14-dione","","",378589,"COc1cccc(c1)N2C(=O)C3C4CCc5ccccc5C4c6c([nH]c7ccccc67)C3C2=O",2,1
"661231",661231,"(2E)-2-[(4-Chlorophenyl)methylidene]-5-[(4-methylanilino)methyl]cyclopentan-1-one","","",5467971,"Cc1ccc(NCC2CC\C(=C/c3ccc(Cl)cc3)\C2=O)cc1",2,2
"661232",661232,"2-(4-hydroxybenzylidene)-5-((phenyl-amino)methyl)cyclope...","","",5467972,"Oc1ccc(\C=C\2/CCC(CNc3ccccc3)C2=O)cc1",2,2
"661233",661233,"(5E)-2-[(4-Ethoxyanilino)methyl]-5-[(4-hydroxyphenyl)methylidene]cyclopentan-1-one","","",5467973,"CCOc1ccc(NCC2CC\C(=C/c3ccc(O)cc3)\C2=O)cc1",2,2
"661235",661235,"2-{[(4-Bromophenyl)amino]methyl}-5-(4-methoxybenzylidene...","","",5467975,"COc1ccc(\C=C\2/CCC(CNc3ccc(Br)cc3)C2=O)cc1",1,1
"661236",661236,"4-[[(3E)-3-[(4-Methoxyphenyl)methylidene]-2-oxocyclopentyl]methylamino]benzenesulfonamide","","",5467976,"COc1ccc(\C=C\2/CCC(CNc3ccc(cc3)S(=O)(=O)N)C2=O)cc1",2,2
"661238",661238,"(5E)-2-(Anilinomethyl)-5-[(E)-3-phenylprop-2-enylidene]cyclopentan-1-one","","",5467978,"O=C1C(CNc2ccccc2)CC/C/1=C\C=C\c3ccccc3",2,2
"661239",661239,"(5E)-2-[(4-Bromoanilino)methyl]-5-[(E)-3-phenylprop-2-enylidene]cyclopentan-1-one","","",5467979,"Brc1ccc(NCC2CC\C(=C/C=C/c3ccccc3)\C2=O)cc1",1,1
"661242",661242,"Homofascaplysin B","","",378602,"COC(=O)C(=O)c1c2ccccc2n3ccc4c5ccccc5[nH]c4c13",1,1
"661243",661243,"[?]carbaldehyde","","",378603,"O=Cc1c2ccccc2n3ccc4c5ccccc5[nH]c4c13",1,1
"661254",661254,"",NA,NA,NA,"",1,1
"661412",661412,"Arborescidine D","","",378619,"CN1CCc2c3C1CCC[C@@H](O)n3c4cc(Br)ccc24",2,1
"661413",661413,"2-(2-Methoxyethoxy)naphthazarin","","",378620,"COCCOC1=CC(=O)c2c(O)ccc(O)c2C1=O",3,3
"661415",661415,"2-Chloro-3-(2-butoxyethoxy)naphthazarin","","",135406263,"CCCCOCCOC1=C(Cl)C(=O)c2c(O)ccc(O)c2C1=O",2,2
"661416",661416,"2-(2-(2-Methoxyethoxy)ethoxy)naphthazarin","","",378623,"COCCOCCOC1=CC(=O)c2c(O)ccc(O)c2C1=O",1,1
"661417",661417,"2-(2-Butoxyethoxy)naphthazarin","","",378624,"CCCCOCCOC1=CC(=O)c2c(O)ccc(O)c2C1=O",1,1
"661418",661418,"2-(2-(2-Butoxyethoxy)ethoxy)naphthazarin","","",378625,"CCCCOCCOCCOC1=CC(=O)c2c(O)ccc(O)c2C1=O",1,1
"661419",661419,"2-(1-(4-Methyl)piperazino)naphthazarin","","",378626,"CN1CCN(CC1)C2=CC(=O)c3c(O)ccc(O)c3C2=O",1,1
"661420",661420,"2-Chloro-3-(1-(4-methyl)piperazino)naphthazarin","","",378627,"CN1CCN(CC1)C2=C(Cl)C(=O)c3c(O)ccc(O)c3C2=O",2,2
"661421",661421,"GTPL10345","","",378629,"Oc1ccc(O)c2C(=O)C(=C(Cl)C(=O)c12)N3CCOCC3",2,2
"661428",661428,"",NA,NA,NA,"CC(=O)OC[C@]12CCC3[C@@]4(C)CCCC(C)(C)C4CC[C@@]3(C)C1CC(O2)C5=CC(=O)OC5O",1,1
"661440",661440,"5H-Benzocyclohepten-5-one, 6,7,8,9-tetrahydro-6-[(dimeth...",NA,NA,NA,"CN(C)CC1CCCc2ccccc2C1=O",2,2
"661441",661441,"N,N-Dimethyl-N-[(6,7,8,9-tetrahydro-5H-benzocyclohepten-...","","",378643,"C[N+](C)(C)CC1CCCc2ccccc2C1=O",4,4
"661443",661443,"(E)-1-(3,4-Dichlorophenyl)-5-(diethylamino)pent-1-en-3-one","","",5467985,"CCN(CC)CCC(=O)\C=C\c1ccc(Cl)c(Cl)c1",1,1
"661446",661446,"",NA,NA,NA,"CC(C)(CN1CCCCC1)\C(=N/NC(=O)N\N=C(\C=C\c2ccc(Cl)c(Cl)c2)/C(C)(C)CN3CCCCC3)\C=C\c4ccc(Cl)c(Cl)c4",1,1
"661447",661447,"",NA,NA,NA,"Cc1ccc(\C=C\C(=N\NC(=O)N\N=C(\C=C\c2ccc(C)cc2)/C(C)(C)CN3CCCCC3)\C(C)(C)CN4CCCCC4)cc1",2,2
"661448",661448,"",NA,NA,NA,"COc1ccc(\C=C\C(=N\NC(=O)N\N=C(\C=C\c2ccc(OC)cc2)/C(C)(C)CN3CCCCC3)\C(C)(C)CN4CCCCC4)cc1",1,1
"661449",661449,"",NA,NA,NA,"CN(C)CC1CCCCCCCCCCC1=O",1,1
"661470",661470,"4-(Bromomethyl)-2,2,5,5-tetramethyl-1-imidazolidinol 3-oxide","","",378673,"CC1(C)N(O)C(C)(C)[N+](=C1CBr)[O-]",2,1
"661580",661580,"2-Azabicyclo[16.3.1]docosa-1(21),4,6,10,18-pentaene- 3,2...","","",5467999,"COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(=C\C=C/C(OC)C(OC(=O)N)\C(=C\[C@@H](C)C1OC(=O)CN)\C)\C)C2=O",2,2
"661581",661581,"2-azabicyclo[16.3.1]docosane, geldanamycin deriv.","","",5468001,"COC1CC(C)CC2=C(OC)C(=O)C=C(NC(=O)\C(=C\C=C/C(OC)C(OC(=O)N)\C(=C\[C@@H](C)[C@@H]1OC(=O)CCN)\C)\C)C2=O",2,2
"661583",661583,"TRIBUTYRIN","","",6050,"CCCC(=O)OCC(COC(=O)CCC)OC(=O)CCC",2,1
"661734",661734,"N'-((6-Methyl-2-pyridinyl)methylene)-1-pyrrolidinecarbothiohydrazide","","",9571830,"Cc1cccc(\C=N\NC(=S)N2CCCC2)n1",3,2
"661746",661746,"2-debenzoyl-2-(3',5'-difluorobenzoyl)-a-nortaxol","","TUBB",6712230,"CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)C2C(OC(=O)c4cc(F)cc(F)c4)[C@@]5(CC(OC(=O)C(O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C15)C)C(=C)C",2,2
"661747",661747,"Ursa-11,13(18)-dien-28-oic acid-3.beta.-ol",NA,NA,NA,"CC1CC[C@@]2(CCC3(C)C(=C2[C@H]1C)C=CC4[C@@]5(C)CC[C@H](O)C(C)(C)C5CC[C@@]34C)C(=O)O",1,1
"661748",661748,"Hopeaphenol",NA,NA,NA,"Oc1ccc(cc1)[C@H]2Oc3cc(O)cc4[C@H]([C@@H]5[C@@H](c6ccc(O)cc6)c7c(O)cc(O)cc7C8[C@H](Oc9cc(O)cc5c89)c%10ccc(O)cc%10)[C@@H](c%11ccc(O)cc%11)c%12c(O)cc(O)cc%12C2c34",1,1
"661820",661820,"",NA,NA,NA,"CCN(CC)CCN1c2ccc3cnn(CCN(CC)CC)c3c2C(=O)c4cccnc14",2,1
"661822",661822,"",NA,NA,NA,"CCN(CC)CCN1c2cc3OCCOc3cc2C(=O)c4cccnc14",1,1
"661832",661832,"2,5-Dibenzyl-2-undecyloctahydro-1H-pyrrolo[3,4-c]pyridin-2-ium bromide","","",378731,"CCCCCCCCCCC[N+]1(Cc2ccccc2)CC3CCN(Cc4ccccc4)CC3C1",1,1
"661908",661908,"4-(1-Adamantyl)-3-phenyl-5-(4-cyanophenyl)-4,5-dihydro-1,2,4-oxadiazole","","",378752,"N#Cc1ccc(cc1)C2ON=C(N2C34CC5CC(CC(C5)C3)C4)c6ccccc6",1,1
"661916",661916,"N-(2-Chloro-5-nitrobenzylidene)adamantan-1-amine","","",378760,"[O-][N+](=O)c1ccc(Cl)c(\C=N\C23CC4CC(CC(C4)C2)C3)c1",2,1
"661938",661938,"6-Chloro-5,8-dihydroxy-7-[(2-hydroxyethyl)amino]naphthalene-1,4-dione","","",378768,"OCCNC1=C(Cl)C(=O)c2c(O)ccc(O)c2C1=O",2,1
"661939",661939,"2-[2-[4-(3-Chloro-1,4-dihydroxy-5,8-dioxonaphthalen-2-yl)piperazin-1-yl]ethoxy]ethyl acetate","","",378769,"CC(=O)OCCOCCN1CCN(CC1)C2=C(Cl)C(=O)c3c(O)ccc(O)c3C2=O",2,2
"661940",661940,"2-(2-chloroethoxy)naphthazarin","","",378770,"Oc1ccc(O)c2C(=O)C(=CC(=O)c12)OCCCl",3,2
"661941",661941,"2-(3-chloropropyloxy)naphthazarin","","",378771,"Oc1ccc(O)c2C(=O)C(=CC(=O)c12)OCCCCl",2,1
"661942",661942,"6-Chloro-7-[bis-(2-chloroethoxy)amino]naphthazarin","","",378772,"Oc1c(Cl)c(N(CCCl)CCCl)c(O)c2C(=O)C=CC(=O)c12",4,2
"661943",661943,"2-Chloro-3-(N-(L-isoleucino))naphthazarin methyl ester","","",378773,"CCC(C)[C@@H](NC1=C(Cl)C(=O)c2c(O)ccc(O)c2C1=O)C(=O)OC",1,1
"661957",661957,"1,3-Bis(4-quinolyl)-2-(2,5-dimethoxyphenyl)propane","","",378782,"COc1ccc(OC)c(c1)C(Cc2ccnc3ccccc23)Cc4ccnc5ccccc45",1,1
"661960",661960,"2,6,13,17-Tetrazaheptacyclo[15.12.0.01,25.03,16.05,14.07,12.018,23]nonacosa-3,5,7,9,11,13,15,18(23)-octaene","","",378784,"C1CCC23N=C4C=C5Nc6ccccc6N=C5C=C4N2C7=C(CCCC7)CC3C1",1,1
"661967",661967,"",NA,NA,NA,"CCOC(=O)[C@@]12C[C@@](O[Si](C)(C)C)(\C=C\OC)[C@]13N(CCc4cc(OC)c(OC)cc34)C(=O)C2O",1,1
"661968",661968,"",NA,NA,NA,"OC(=O)CNC(=O)C(CSC(=O)OCC1c2ccccc2c3ccccc13)NC(=O)CCC(NC(=O)OCC4c5ccccc5c6ccccc46)C(=O)O",1,1
"661969",661969,"Methyl 2-(9H-fluoren-9-ylmethoxycarbonylamino)-5-[[3-(9H-fluoren-9-ylmethoxycarbonylsulfanyl)-1-[(2-methoxy-2-oxoethyl)amino]-1-oxopropan-2-yl]amino]-5-oxopentanoate","","",378793,"COC(=O)CNC(=O)C(CSC(=O)OCC1c2ccccc2c3ccccc13)NC(=O)CCC(NC(=O)OCC4c5ccccc5c6ccccc46)C(=O)OC",1,1
"662116",662116,"4H-Cyclopenta[c]thiophen-4-one, 6-amino-1,3-dibromo- 5,6...",NA,NA,NA,"NC1CC(=O)c2c(Br)sc(Br)c12",2,2
"662119",662119,"N-(3-Bromo-6-oxo-4,5-dihydrocyclopenta[c]thiophen-4-yl)-2,2,2-trifluoroacetamide","","",378798,"FC(F)(F)C(=O)NC1CC(=O)c2csc(Br)c12",1,1
"662120",662120,"4H-Cyclopenta[c]thiophene-4-one, 6-amino- 1,3-dichloro-5...",NA,NA,NA,"NC1CC(=O)c2c(Cl)sc(Cl)c12",2,2
"662123",662123,"N-[3-Bromo-6-oxo-1-(4-phenylpiperidin-1-yl)-4,5-dihydrocyclopenta[c]thiophen-4-yl]-2,2,2-trifluoroacetamide","","",378804,"FC(F)(F)C(=O)NC1CC(=O)c2c(sc(Br)c12)N3CCC(CC3)c4ccccc4",1,1
"662124",662124,"Acetamide, N-(1,3,5-tribromo-5,6-dihydro-4-oxo-4H-cyclop...",NA,NA,NA,"FC(F)(F)C(=O)N[C@H]1C(Br)C(=O)c2c(Br)sc(Br)c12",2,1
"662126",662126,"N-[(4Z)-1,3-Dibromo-4-hydroxyimino-5,6-dihydrocyclopenta[c]thiophen-6-yl]-2,2,2-trifluoroacetamide","","",5880315,"O\N=C/1\CC(NC(=O)C(F)(F)F)c2c(Br)sc(Br)c12",1,1
"662133",662133,"Spiro[cyclohexane-1,3'-[3H]pyrano[2,3-c]acridin]-7'(12'H)-one, 6'-methoxy-12'-methyl-","","",378815,"COc1cc2OC3(CCCCC3)C=Cc2c4N(C)c5ccccc5C(=O)c14",2,2
"662158",662158,"[(1S,4S,7R,9S,10S,12R)-4,12-Diacetyloxy-15-[3-[(3-chlorobenzoyl)amino]-2-hydroxy-3-phenylpropanoyl]oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-y","","",6712240,"CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)C2C(OC(=O)c4ccccc4)[C@]5(O)CC(OC(=O)C(O)C(NC(=O)c6cccc(Cl)c6)c7ccccc7)C(=C1C5(C)C)C",1,1
"662160",662160,"[(1S,4S,7R,9S,10S,12R)-4,12-Diacetyloxy-15-[3-benzamido-3-(4-fluorophenyl)-2-hydroxypropanoyl]oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] be","","",6712242,"CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)C2C(OC(=O)c4ccccc4)[C@]5(O)CC(OC(=O)C(O)C(NC(=O)c6ccccc6)c7ccc(F)cc7)C(=C1C5(C)C)C",2,2
"662161",662161,"[(1S,4S,7R,9S,10S,12R)-4,12-Diacetyloxy-15-[3-(butoxycarbonylamino)-2-hydroxy-3-phenylpropanoyl]oxy-1,9-dihydroxy-10,14,17,17-tetramethyl-11-oxo-6-oxatetracyclo[11.3.1.03,10.04,7]heptadec-13-en-2-yl] ","","",6712243,"CCCCOC(=O)NC(C(O)C(=O)OC1C[C@@]2(O)C(OC(=O)c3ccccc3)C4[C@@]5(CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(=O)C)C(=C1C)C2(C)C)OC(=O)C)c6ccccc6",2,2
"662189",662189,"2-[(7-Methoxy-1-nitroacridin-9-yl)amino]ethanol","","",378849,"COc1ccc2nc3cccc(c3c(NCCO)c2c1)[N+](=O)[O-]",2,2
"662191",662191,"9-((2-(Dimethylamino)ethyl)amino)-1-(hydroxy(oxido)amino)-7-methoxyacridine","","",378851,"COc1ccc2nc3cccc(c3c(NCCN(C)C)c2c1)[N+](=O)[O-]",1,1
"662192",662192,"9-((3-(Diethylamino)propyl)amino)-1-(hydroxy(oxido)amino)-7-methoxyacridine","","",378852,"CCN(CC)CCCNc1c2cc(OC)ccc2nc3cccc(c13)[N+](=O)[O-]",2,2
"662193",662193,"Acridine-9-amine, N-(3-aminopropyl)-1-nitro-","","",378853,"NCCCNc1c2ccccc2nc3cccc(c13)[N+](=O)[O-]",2,2
"662199",662199,"17-n-Propylamino-geldanamycin","","",5472884,"CCCNC1=C2CC(C)CC(OC)[C@@H](O)[C@H](C)\C=C(/C)\C(OC(=O)N)C(OC)\C=C/C=C(\C)/C(=O)NC(=CC1=O)C2=O",3,2
"662251",662251,"Benzothiazole,2-(4-N-N-Dimethylamino-3-methoxystyryl),Me...","","",6518097,"COc1cc(\C=C\c2sc3ccccc3[n+]2C)ccc1N(C)C",2,2
"662252",662252,"Ammonia; dichloroplatinum; quinoline","","",499153,"[NH3+][Pt+2]([ClH-])([ClH-])[n+]1cccc2ccccc12",1,1
"662253",662253,"Ammonia; dichloroplatinum; isoquinoline","","",499154,"[NH3+][Pt+2]([ClH-])([ClH-])[n+]1ccc2ccccc2c1",2,1
"662254",662254,"",NA,NA,NA,"[NH3+][Pt+4]([O-])([O-])([ClH-])([ClH-])[n+]1cccc2ccccc12",1,1
"662258",662258,"",NA,NA,NA,"CS(=O)(C)[Pt+2]([NH3+])([ClH-])[n+]1ccc2ccccc2c1.[O-][N+](=O)[O-]",1,1
